id,type_offre,description,date_debut,date_fin
1,Carte Bancaire,Profitez de 50% de réduction sur les frais de la première année de votre carte bancaire premium.,2022-08-15,2022-09-15
2,Crédit Immobilier,Obtenez un taux préférentiel de 2.5% pour votre crédit immobilier avec la Banque Centrale Populaire.,2022-07-20,2022-10-20
3,Épargne,Faites fructifier votre épargne avec un taux d'intérêt de 3% garanti pendant un an.,2022-06-10,2023-06-10
4,Assurance Auto,Assurez votre véhicule avec notre assurance auto complète et bénéficiez de 1 mois gratuit.,2022-09-01,2022-10-01
5,Prêt Personnel,Besoin d'un coup de pouce financier ? Profitez de notre prêt personnel à taux avantageux.,2022-08-05,2022-09-05
6,Compte Jeune,Ouvrez un compte jeune pour vos enfants et bénéficiez de 20% de réduction sur les frais de gestion.,2022-07-15,2022-08-15
7,Assurance Voyage,Assurez vos voyages à l'étranger avec notre assurance voyage et voyagez l'esprit tranquille.,2022-09-10,2022-12-10
8,Compte Entreprise,Profitez de tarifs avantageux pour la gestion de vos comptes d'entreprise avec BCP.,2022-08-20,2022-11-20
9,Épargne Logement,Un projet immobilier en vue ? Épargnez avec notre compte épargne logement et bénéficiez de conseils personnalisés.,2022-07-30,2023-07-30
10,Assurance Santé,Protégez votre santé et celle de votre famille avec une assurance santé sur-mesure.,2022-08-25,2022-09-25
11,Paiement Mobile,Gérez vos paiements en toute simplicité avec notre application de paiement mobile sécurisée.,2022-09-05,2022-10-05
12,Prêt Étudiant,Financez vos études avec notre prêt étudiant à des conditions avantageuses.,2022-07-25,2022-08-25
13,Épargne Retraite,Préparez sereinement votre retraite en investissant dans un plan d'épargne retraite performant.,2022-08-30,2023-08-30
14,Assurance Habitation,Protégez votre domicile et vos biens avec notre assurance habitation complète.,2022-09-15,2022-10-15
15,Investissement,Diversifiez vos investissements avec nos solutions d'investissement personnalisées.,2022-08-10,2022-11-10
