id,date_reclamation,description,statut,reponse
1,2022-01-03,Retrait d'argent non effectué dans le distributeur automatique,En attente de traitement,
2,2022-01-06,Erreur de montant lors du virement bancaire,En cours d'examen,
3,2022-01-10,Paiement par carte refusé sans raison apparente,En attente de réponse,
4,2022-01-15,Frais bancaires excessifs facturés,En cours de validation,
5,2022-01-20,Problème de connexion à l'application mobile,En attente de traitement,
6,2022-01-25,Carte bancaire avalée par un distributeur,En cours d'investigation,
7,2022-01-28,Délai de traitement d'un chèque trop long,En attente de réponse,
8,2022-02-02,Problème d'authentification sur le site web de la banque,En cours de correction,
9,2022-02-06,Demande de découvert non prise en compte,En attente de traitement,
10,2022-02-10,Paiement par chèque annulé mais montant débité,En cours d'examen,
11,2022-02-15,Taux de change non conforme à celui du marché,En attente de réponse,
12,2022-02-20,Incident de paiement par NFC en magasin,En cours de validation,
13,2022-02-25,Retard dans l'exécution d'un virement international,En attente de traitement,
14,2022-02-28,Accès au compte bloqué sans justification,En cours d'investigation,
15,2022-03-05,Incohérence entre les transactions affichées et les opérations réelles,En attente de réponse,
16,2022-03-10,Problème de versement d'un chèque par un tiers,En cours de correction,
17,2022-03-15,Erreur de plafond de retrait au distributeur,En attente de traitement,
18,2022-03-20,Déclaration de perte de carte non prise en compte,En cours d'examen,
19,2022-03-25,Fuite de données personnelles par l'application mobile,En attente de réponse,
20,2022-03-28,Retrait d'espèces non distribuées au guichet automatique,En cours de validation,
21,2022-04-02,Double débit sur un paiement par carte en ligne,En attente de traitement,
22,2022-04-06,Absence de confirmation de virement interne,En cours d'investigation,
23,2022-04-10,Changement de mot de passe non pris en compte,En attente de réponse,
24,2022-04-15,Blocage de carte suite à voyage à l'étranger mal interprété,En cours de correction,
25,2022-04-20,Ouverture de compte non finalisée malgré documents fournis,En attente de traitement,
26,2022-04-25,Paiement par chèque refusé pour signature non conforme,En cours d'examen,
27,2022-04-28,Problème de qualité de service lors d'un appel au service client,En attente de réponse,
28,2022-05-02,Débit frauduleux sur carte bancaire sans alerte de sécurité,En cours de validation,
29,2022-05-06,Erreur d'adresse de livraison pour un chéquier,En attente de traitement,
30,2022-05-10,Incident de paiement avec un commerçant en ligne,En cours d'investigation,
31,2022-05-15,Modification non autorisée des plafonds de la carte bancaire,En attente de réponse,
32,2022-05-20,Problème de disponibilité des fonds à l'étranger,En cours de correction,
33,2022-05-25,Retard dans la mise en place d'un prélèvement automatique,En attente de traitement,
34,2022-05-28,Changement d'adresse non pris en compte pour envoi de chéquier,En cours d'examen,
35,2022-06-02,Paiement par carte débité deux fois lors d'un achat,En attente de réponse,
36,2022-06-06,Situation de découvert non notifiée malgré accord préalable,En cours de validation,
37,2022-06-10,Problème de reconnaissance d'empreinte digitale sur l'application mobile,En attente de traitement,
38,2022-06-15,Erreur de montant crédité lors d'un dépôt de chèque,En cours d'investigation,
39,2022-06-20,Absence d'alerte de dépassement d'un seuil de virement automatique,En attente de réponse,
40,2022-06-25,Retard de réception de carte de paiement suite à demande d'urgence,En cours de correction,
41,2022-06-28,Problème de configuration de l'application de paiement mobile,En attente de traitement,
42,2022-07-02,Erreur d'inscription de bénéficiaire pour un virement,En cours d'examen,
43,2022-07-06,Rejet de prélèvement automatique sans motif explicite,En attente de réponse,
44,2022-07-10,Suspicion de fraude sur le compte suite à des opérations suspectes,En cours de validation,
45,2022-07-15,Inaccessibilité au service en ligne pendant plusieurs heures,En attente de traitement,
46,2022-07-20,Changement de numéro de téléphone non validé pour alertes SMS,En cours d'investigation,
47,2022-07-25,Problème de remboursement sur une opération annulée,En attente de réponse,
48,2022-07-28,Modification non enregistrée des coordonnées pour l'envoi de relevés,En cours de correction,
49,2022-08-02,Problème de reconnaissance faciale pour validation de paiement en ligne,En attente de traitement,
50,2022-08-06,Dépôt d'espèces non crédité sur le compte immédiatement,En cours d'examen,
