id,type_transaction,montant_transaction,date_transaction,adresse_bien
1,Vente,850000,2022-09-15,"Avenue Mohammed V, Casablanca"
2,Location,7000,2022-08-20,"Rue Ibnou Tofail, Rabat"
3,Vente,1200000,2022-07-05,"Boulevard Hassan II, Marrakech"
4,Location,5000,2022-06-10,"Avenue Mohamed VI, Tanger"
5,Vente,600000,2022-05-18,"Rue Mohammed El Qory, Fès"
6,Location,4500,2022-04-25,"Avenue Mohamed V, Agadir"
7,Vente,980000,2022-03-07,"Boulevard Mohamed Zerktouni, Casablanca"
8,Location,6000,2022-02-14,"Rue Allal Ben Abdellah, Marrakech"
9,Vente,550000,2022-01-28,"Avenue Mohammed V, Tanger"
10,Location,4800,2021-12-30,"Rue Khalid Ibnou Oualid, Rabat"
11,Vente,720000,2021-11-17,"Avenue Mohammed VI, Agadir"
12,Location,5200,2021-10-05,"Rue Ahmed El Mokri, Fès"
13,Vente,890000,2021-09-19,"Rue Mohammed El Qory, Casablanca"
14,Location,5500,2021-08-26,"Avenue Mohamed VI, Marrakech"
15,Vente,680000,2021-07-12,"Boulevard Hassan II, Tanger"
16,Location,4800,2021-06-18,"Avenue Mohammed V, Rabat"
17,Vente,780000,2021-05-27,"Rue Allal Ben Abdellah, Agadir"
18,Location,5100,2021-04-10,"Boulevard Mohamed Zerktouni, Fès"
19,Vente,820000,2021-03-08,"Avenue Mohamed VI, Casablanca"
20,Location,5800,2021-02-22,"Rue Khalid Ibnou Oualid, Marrakech"
21,Vente,930000,2021-01-31,"Avenue Mohammed V, Tanger"
22,Location,5000,2020-12-25,"Rue Ahmed El Mokri, Rabat"
23,Vente,700000,2020-11-16,"Avenue Mohammed VI, Agadir"
24,Location,5300,2020-10-29,"Rue Mohammed El Qory, Fès"
25,Vente,850000,2020-09-07,"Avenue Mohamed V, Casablanca"
26,Location,6000,2020-08-13,"Boulevard Mohamed Zerktouni, Marrakech"
27,Vente,750000,2020-07-25,"Avenue Mohammed V, Tanger"
28,Location,5500,2020-06-02,"Rue Ibnou Tofail, Rabat"
29,Vente,920000,2020-05-09,"Boulevard Hassan II, Agadir"
30,Location,4800,2020-04-17,"Avenue Mohammed VI, Fès"
31,Vente,780000,2020-03-22,"Rue Khalid Ibnou Oualid, Casablanca"
32,Location,5200,2020-02-14,"Avenue Mohamed V, Marrakech"
33,Vente,860000,2020-01-11,"Rue Mohammed El Qory, Tanger"
34,Location,5100,2019-12-30,"Boulevard Mohamed Zerktouni, Rabat"
35,Vente,720000,2019-11-27,"Avenue Mohammed VI, Marrakech"
36,Location,5300,2019-10-05,"Rue Allal Ben Abdellah, Casablanca"
37,Vente,950000,2019-09-12,"Avenue Mohamed VI, Fès"
38,Location,5700,2019-08-27,"Rue Ahmed El Mokri, Agadir"
39,Vente,890000,2019-07-17,"Avenue Mohammed V, Tanger"
40,Location,4900,2019-06-30,"Rue Khalid Ibnou Oualid, Rabat"
41,Vente,790000,2019-05-08,"Boulevard Hassan II, Marrakech"
42,Location,5400,2019-04-21,"Avenue Mohammed VI, Agadir"
43,Vente,920000,2019-03-14,"Rue Allal Ben Abdellah, Casablanca"
44,Location,6000,2019-02-19,"Rue Ibnou Tofail, Marrakech"
45,Vente,870000,2019-01-30,"Boulevard Mohamed Zerktouni, Fès"
46,Location,5800,2018-12-19,"Avenue Mohamed VI, Tanger"
47,Vente,740000,2018-11-26,"Rue Ahmed El Mokri, Rabat"
48,Location,5200,2018-10-07,"Rue Mohammed El Qory, Agadir"
49,Vente,800000,2018-09-18,"Rue Khalid Ibnou Oualid, Casablanca"
50,Location,5900,2018-08-23,"Boulevard Hassan II, Marrakech"
