id,type_bien,valeur_assuree,prime_annuelle
1,Appartement,1500000,3000
2,Villa,4000000,8000
3,Maison,800000,1600
4,Bureau,2000000,4000
5,Local Commercial,600000,1200
6,Entrepôt,1000000,2000
7,Terrain,3000000,6000
8,Garage,500000,1000
9,Château,7000000,14000
10,Riad,2500000,5000
11,Ferme Agricole,3500000,7000
12,Piscine,100000,200
13,Écurie,500000,1000
14,Bungalow,1200000,2400
15,Hôtel,6000000,12000
16,Usine,10000000,20000
17,Hangar,3000000,6000
18,Atelier,800000,1600
19,Palais,9000000,18000
20,Moulin,2000000,4000
21,Cabinet Médical,400000,800
22,École,1500000,3000
23,Cinéma,3500000,7000
24,Crèche,600000,1200
25,Co-working Space,1000000,2000
26,Café,500000,1000
27,Salon de Beauté,200000,400
28,SPA,80000,160
29,Boulangerie,120000,240
30,Galerie d'Art,150000,300
31,Librairie,300000,600
32,Boutique de Vêtements,400000,800
33,Salon de Thé,80000,160
34,Supermarché,600000,1200
35,Animalerie,100000,200
36,Parc d'Attractions,5000000,10000
37,Salle de Sport,800000,1600
38,Auberge,3000000,6000
39,Pension,600000,1200
40,Camping,200000,400
41,Salle de Réception,1500000,3000
42,Salon de Coiffure,400000,800
43,Cabinet d'Avocat,500000,1000
44,Studio d'Enregistrement,80000,160
45,Cabinet Comptable,100000,200
46,Cabinet de Recrutement,200000,400
47,Agence Immobilière,500000,1000
48,Société de Nettoyage,300000,600
49,Épicerie,80000,160
50,Magasin de Sport,400000,800
